Baratron Time,Baratron Value,Convectron Time,Convectron Value,Ion Gauge Time,Ion Gauge Value,Full Range Time,Full Range Value
1630692727.348377,0.051377259638002215,1630692727.3464673,0.04834022097281978,1630692046.4776113,10.0,1630692727.3504453,0.05888035293646495
1630692727.348377,0.051377259638002215,1630692727.3464673,0.04834022097281978,1630692046.4776113,10.0,1630692727.3504453,0.05888035293646495
1630692727.9517808,0.05090359724204063,1630692727.9498527,0.04791156846264273,1630692046.4776113,10.0,1630692727.954048,0.0584359924768725
1630692727.9517808,0.05090359724204063,1630692727.9498527,0.04791156846264273,1630692046.4776113,10.0,1630692727.954048,0.0584359924768725
1630692728.5549955,0.050350991113418786,1630692728.553123,0.047633685944932294,1630692046.4776113,10.0,1630692728.5570652,0.057942288852725475
1630692728.5549955,0.050350991113418786,1630692728.553123,0.047633685944932294,1630692046.4776113,10.0,1630692728.5570652,0.057942288852725475
1630692729.1585264,0.04995627245011747,1630692729.1565034,0.04734020149220165,1630692046.4776113,10.0,1630692729.1603804,0.05733102081731201
1630692729.1585264,0.04995627245011747,1630692729.1565034,0.04734020149220165,1630692046.4776113,10.0,1630692729.1603804,0.05733102081731201
1630692729.7614603,0.049482610054155884,1630692729.7593956,0.046809671207634074,1630692046.4776113,10.0,1630692729.7637377,0.05762711277752644
1630692729.7614603,0.049482610054155884,1630692729.7593956,0.046809671207634074,1630692046.4776113,10.0,1630692729.7637377,0.05762711277752644
1630692730.363969,0.04932472258883536,1630692730.3621013,0.04651280812155151,1630692046.4776113,10.0,1630692730.3659632,0.0570191697239891
1630692730.363969,0.04932472258883536,1630692730.3621013,0.04651280812155151,1630692046.4776113,10.0,1630692730.3659632,0.0570191697239891
1630692730.9686434,0.04877211646021351,1630692730.9663775,0.0461758406500451,1630692046.4776113,10.0,1630692730.9711204,0.056537436300025626
1630692730.9686434,0.04877211646021351,1630692730.9663775,0.0461758406500451,1630692046.4776113,10.0,1630692730.9711204,0.056537436300025626
1630692731.571988,0.04829845406425193,1630692731.5697122,0.04583298234661839,1630692046.4776113,10.0,1630692731.5742524,0.05619583483442027
1630692731.571988,0.04829845406425193,1630692731.5697122,0.04583298234661839,1630692046.4776113,10.0,1630692731.5742524,0.05619583483442027
1630692732.1762035,0.047824791668290345,1630692732.174336,0.045525759473015265,1630692046.4776113,10.0,1630692732.1780765,0.05556930394658159
1630692732.1762035,0.047824791668290345,1630692732.174336,0.045525759473015265,1630692046.4776113,10.0,1630692732.1780765,0.05556930394658159
1630692732.7799854,0.04750901673764929,1630692732.7777138,0.04513847102210749,1630692046.4776113,10.0,1630692732.7822807,0.05573794451784556
1630692732.7799854,0.04750901673764929,1630692732.7777138,0.04513847102210749,1630692046.4776113,10.0,1630692732.7822807,0.05573794451784556
1630692733.3826168,0.0472721855396685,1630692733.380558,0.04486036028592939,1630692046.4776113,10.0,1630692733.3847103,0.05538438858412246
1630692733.3826168,0.0472721855396685,1630692733.380558,0.04486036028592939,1630692046.4776113,10.0,1630692733.3847103,0.05538438858412246
1630692733.9872122,0.04703535434168771,1630692733.984945,0.044559656991221545,1630692046.4776113,10.0,1630692733.989681,0.05461774963974058
1630692733.9872122,0.04703535434168771,1630692733.984945,0.044559656991221545,1630692046.4776113,10.0,1630692733.989681,0.05461774963974058
1630692734.5909653,0.04648274821306586,1630692734.5890899,0.04420468649570235,1630692046.4776113,10.0,1630692734.5928392,0.05448550854235534
1630692734.5909653,0.04648274821306586,1630692734.5890899,0.04420468649570235,1630692046.4776113,10.0,1630692734.5928392,0.05448550854235534
1630692735.1957076,0.04600908581710428,1630692735.193641,0.04400425994780005,1630692046.4776113,10.0,1630692735.19778,0.054452498327011656
1630692735.1957076,0.04600908581710428,1630692735.193641,0.04400425994780005,1630692046.4776113,10.0,1630692735.19778,0.054452498327011656
1630692735.7990925,0.04585119835178375,1630692735.7969673,0.04370135065543387,1630692046.4776113,10.0,1630692735.801079,0.05394338993146988
1630692735.7990925,0.04585119835178375,1630692735.7969673,0.04370135065543387,1630692046.4776113,10.0,1630692735.801079,0.05394338993146988
1630692736.403517,0.04569331088646322,1630692736.4014547,0.043337459419103413,1630692046.4776113,10.0,1630692736.4057894,0.053471437326532936
1630692736.403517,0.04569331088646322,1630692736.4014547,0.043337459419103413,1630692046.4776113,10.0,1630692736.4057894,0.053471437326532936
1630692737.007373,0.04514070475784138,1630692737.0051231,0.04310960859148175,1630692046.4776113,10.0,1630692737.009549,0.053277356472800276
